Label1,,Label2,,Label3,,Label4,,,,Combined(2+3+4),,Label1,,FINAL,
Outcome,Score,Outcome,Score,Outcome,Score,Outcome,Score,,,Outcome,Score,Outcome,Score,Final Outcome,Final Score
Possible Bully,0.42,Not a victim,0.75,Not a victim,0.785714286,Possible Victim,0.666666667,,,Possible Victim,0.734126984,Possible Bully,0.42,Possible Bully,
Not a bully,0.22,Not a victim,0.8625,Not a victim,0.8,Not a victim,0.766666667,,,Not a victim,0.809722222,Not a bully,0.22,Not a bully,
Not a bully,0.1,Not a victim,0.7125,Not a victim,0.785714286,Not a victim,0.8,,,Not a victim,0.766071429,Not a bully,0.1,Not a bully,
Not a bully,0.18,Not a victim,0.8125,Possible Victim,0.614285714,Not a victim,0.833333333,,,Not a victim,0.753373016,Not a bully,0.18,Not a bully,
Not a bully,0.1,Not a victim,0.775,Not a victim,0.814285714,Possible Victim,0.633333333,,,Possible Victim,0.740873016,Not a bully,0.1,Not a bully,
Not a bully,0.18,Not a victim,0.9,Not a victim,0.885714286,Not a victim,0.933333333,,,Not a victim,0.906349206,Not a bully,0.18,Not a bully,
Not a bully,0.18,Not a victim,0.8125,Not a victim,0.7,Possible Victim,0.333333333,,,Possible Victim,0.615277778,Not a bully,0.18,Not a bully,
Not a bully,0.26,Not a victim,1,Not a victim,0.8,Not a victim,1,,,Not a victim,0.933333333,Not a bully,0.26,Not a bully,
Not a bully,0.1,Not a victim,0.975,Not a victim,0.828571429,Not a victim,1,,,Not a victim,0.93452381,Not a bully,0.1,Not a bully,
Not a bully,0.12,Not a victim,0.85,Possible Victim,0.628571429,Not a victim,0.7,,,Possible Victim,0.726190476,Not a bully,0.12,Not a bully,
Not a bully,0.16,Possible Victim,0.5625,Not a victim,0.785714286,Not a victim,1,,,Not a victim,0.782738095,Not a bully,0.16,Not a bully,
Not a bully,0.24,Not a victim,0.825,Not a victim,0.914285714,Not a victim,0.833333333,,,Not a victim,0.857539682,Not a bully,0.24,Not a bully,
Not a bully,0.24,Possible Victim,0.625,Not a victim,0.742857143,Possible Victim,0.633333333,,,Possible Victim,0.667063492,Not a bully,0.24,Not a bully,
Not a bully,0.1,Possible Victim,0.6875,Possible Victim,0.614285714,Possible Victim,0.666666667,,,Possible Victim,0.656150794,Not a bully,0.1,Not a bully,
Not a bully,0.1,Possible Victim,0.6875,Not a victim,0.871428571,Possible Victim,0.666666667,,,Possible Victim,0.741865079,Not a bully,0.1,Not a bully,
Not a bully,0.2,Not a victim,0.825,Not a victim,0.885714286,Not a victim,0.866666667,,,Not a victim,0.859126984,Not a bully,0.2,Not a bully,
Not a bully,0.1,Not a victim,0.85,Possible Victim,0.657142857,Not a victim,0.733333333,,,Possible Victim,0.746825397,Not a bully,0.1,Not a bully,
Not a bully,0.1,Possible Victim,0.2875,Possible Victim,0.457142857,Possible Victim,0.233333333,,,Possible Victim,0.325992063,Not a bully,0.1,Not a bully,
Not a bully,0.34,Not a victim,0.775,Not a victim,0.942857143,Possible Victim,0.533333333,,,Not a victim,0.750396825,Not a bully,0.34,Not a bully,
Not a bully,0.14,Not a victim,1,Not a victim,0.971428571,Not a victim,0.866666667,,,Not a victim,0.946031746,Not a bully,0.14,Not a bully,
Not a bully,0.2,Not a victim,0.825,Not a victim,0.914285714,Possible Victim,0.433333333,,,Possible Victim,0.724206349,Not a bully,0.2,Not a bully,
Not a bully,0.22,Possible Victim,0.4875,Possible Victim,0.471428571,Possible Victim,0.333333333,,,Possible Victim,0.430753968,Not a bully,0.22,Not a bully,
Not a bully,0.3,Possible Victim,0.6875,Possible Victim,0.671428571,Possible Victim,0.666666667,,,Possible Victim,0.675198413,Not a bully,0.3,Not a bully,
Not a bully,0.2,Not a victim,0.8,Not a victim,0.828571429,Not a victim,0.8,,,Not a victim,0.80952381,Not a bully,0.2,Not a bully,
Not a bully,0.1,Possible Victim,0.5625,Not a victim,0.771428571,Not a victim,1,,,Not a victim,0.77797619,Not a bully,0.1,Not a bully,
Possible Bully,0.52,Possible Victim,0.5375,Possible Victim,0.571428571,Not a victim,0.866666667,,,Possible Victim,0.658531746,Possible Bully,0.52,Possible Bully,
Not a bully,0.28,Not a victim,0.8375,Possible Victim,0.657142857,Possible Victim,0.6,,,Possible Victim,0.698214286,Not a bully,0.28,Not a bully,
Possible Bully,0.6,Possible Victim,0.5375,Not a victim,0.7,Not a victim,0.866666667,,,Possible Victim,0.701388889,Possible Bully,0.6,Possible Bully,
Not a bully,0.14,Not a victim,0.7125,Possible Victim,0.614285714,Possible Victim,0.666666667,,,Possible Victim,0.664484127,Not a bully,0.14,Not a bully,
Not a bully,0.1,Possible Victim,0.425,Possible Victim,0.571428571,Not a victim,0.9,,,Possible Victim,0.632142857,Not a bully,0.1,Not a bully,
Not a bully,0.16,Possible Victim,0.4,Possible Victim,0.514285714,Possible Victim,0.533333333,,,Possible Victim,0.482539682,Not a bully,0.16,Not a bully,
Not a bully,0.12,Possible Victim,0.5625,Possible Victim,0.685714286,Possible Victim,0.466666667,,,Possible Victim,0.571626984,Not a bully,0.12,Not a bully,
Not a bully,0.26,Possible Victim,0.625,Possible Victim,0.471428571,Possible Victim,0.5,,,Possible Victim,0.532142857,Not a bully,0.26,Not a bully,
Not a bully,0.1,Not a victim,1,Not a victim,1,Not a victim,1,,,Not a victim,1,Not a bully,0.1,Not a bully,
Not a bully,0.1,Possible Victim,0.5125,Possible Victim,0.414285714,Possible Victim,0.466666667,,,Possible Victim,0.464484127,Not a bully,0.1,Not a bully,
Not a bully,0.22,Possible Victim,0.475,Not a victim,0.742857143,Not a victim,0.7,,,Possible Victim,0.639285714,Not a bully,0.22,Not a bully,
Not a bully,0.1,Possible Victim,0.4625,Possible Victim,0.514285714,Possible Victim,0.666666667,,,Possible Victim,0.54781746,Not a bully,0.1,Not a bully,
Not a bully,0.2,Possible Victim,0.675,Possible Victim,0.671428571,Not a victim,0.933333333,,,Not a victim,0.759920635,Not a bully,0.2,Not a bully,
Not a bully,0.36,Not a victim,0.825,Possible Victim,0.685714286,Not a victim,1,,,Not a victim,0.836904762,Not a bully,0.36,Not a bully,
Not a bully,0.1,Not a victim,0.8875,Not a victim,0.871428571,Not a victim,0.933333333,,,Not a victim,0.897420635,Not a bully,0.1,Not a bully,
Not a bully,0.18,Not a victim,0.9125,Not a victim,0.914285714,Possible Victim,0.466666667,,,Not a victim,0.764484127,Not a bully,0.18,Not a bully,
Possible Bully,0.56,Not a victim,0.9375,Not a victim,0.814285714,Not a victim,0.9,,,Not a victim,0.883928571,Possible Bully,0.56,Not a bully,
Not a bully,0.28,Not a victim,0.7375,Not a victim,0.742857143,Not a victim,0.7,,,Possible Victim,0.726785714,Not a bully,0.28,Not a bully,
Not a bully,0.24,Not a victim,0.75,Not a victim,0.814285714,Not a victim,0.833333333,,,Not a victim,0.799206349,Not a bully,0.24,Not a bully,
Not a bully,0.1,Not a victim,1,Not a victim,1,Not a victim,1,,,Not a victim,1,Not a bully,0.1,Not a bully,
Not a bully,0.28,Not a victim,0.75,Possible Victim,0.642857143,Possible Victim,0.666666667,,,Possible Victim,0.686507937,Not a bully,0.28,Not a bully,
Possible Bully,0.66,Not a victim,1,Not a victim,0.714285714,Possible Victim,0.6,,,Not a victim,0.771428571,Possible Bully,0.66,Not a bully,
Not a bully,0.24,Possible Victim,0.6375,Not a victim,0.742857143,Not a victim,0.933333333,,,Not a victim,0.771230159,Not a bully,0.24,Not a bully,
Not a bully,0.1,Not a victim,0.75,Not a victim,0.928571429,Not a victim,1,,,Not a victim,0.892857143,Not a bully,0.1,Not a bully,
Not a bully,0.34,Possible Victim,0.5,Not a victim,0.771428571,Possible Victim,0.1,,,Possible Victim,0.457142857,Not a bully,0.34,Not a bully,
Not a bully,0.1,Not a victim,0.7,Not a victim,0.814285714,Possible Victim,0.366666667,,,Possible Victim,0.626984127,Not a bully,0.1,Not a bully,
Not a bully,0.12,Possible Victim,0.6125,Possible Victim,0.628571429,Possible Victim,0.666666667,,,Possible Victim,0.635912699,Not a bully,0.12,Not a bully,
Not a bully,0.22,Not a victim,0.8625,Not a victim,0.828571429,Not a victim,0.833333333,,,Not a victim,0.841468254,Not a bully,0.22,Not a bully,
Not a bully,0.18,Not a victim,0.9,Not a victim,0.7,Not a victim,1,,,Not a victim,0.866666667,Not a bully,0.18,Not a bully,
Not a bully,0.22,Possible Victim,0.6,Possible Victim,0.671428571,Not a victim,0.833333333,,,Possible Victim,0.701587301,Not a bully,0.22,Not a bully,
Not a bully,0.18,Not a victim,0.9,Not a victim,0.7,Not a victim,1,,,Not a victim,0.866666667,Not a bully,0.18,Not a bully,
Not a bully,0.24,Not a victim,0.7875,Not a victim,0.742857143,Not a victim,0.833333333,,,Not a victim,0.787896825,Not a bully,0.24,Not a bully,
Possible Bully,0.46,Not a victim,0.8125,Not a victim,0.814285714,Not a victim,0.8,,,Not a victim,0.808928571,Possible Bully,0.46,Not a bully,
Possible Bully,0.52,Not a victim,0.8625,Not a victim,0.814285714,Not a victim,0.866666667,,,Not a victim,0.84781746,Possible Bully,0.52,Not a bully,
Possible Bully,0.42,Possible Victim,0.6,Possible Victim,0.542857143,Not a victim,0.8,,,Possible Victim,0.647619048,Possible Bully,0.42,Possible Bully,
Not a bully,0.26,Possible Victim,0.6875,Not a victim,0.714285714,Not a victim,0.733333333,,,Possible Victim,0.711706349,Not a bully,0.26,Not a bully,
Not a bully,0.2,Possible Victim,0.45,Possible Victim,0.414285714,Possible Victim,0.366666667,,,Possible Victim,0.41031746,Not a bully,0.2,Not a bully,
Possible Bully,0.7,Not a victim,1,Not a victim,0.914285714,Not a victim,1,,,Not a victim,0.971428571,Possible Bully,0.7,Not a bully,
Not a bully,0.2,Not a victim,0.775,Not a victim,0.8,Not a victim,0.833333333,,,Not a victim,0.802777778,Not a bully,0.2,Not a bully,
Not a bully,0.22,Possible Victim,0.2875,Possible Victim,0.357142857,Possible Victim,0.5,,,Possible Victim,0.381547619,Not a bully,0.22,Not a bully,
Possible Bully,0.5,Possible Victim,0.625,Possible Victim,0.685714286,Possible Victim,0.266666667,,,Possible Victim,0.525793651,Possible Bully,0.5,Possible Bully,
Not a bully,0.28,Not a victim,0.875,Not a victim,0.771428571,Not a victim,0.733333333,,,Not a victim,0.793253968,Not a bully,0.28,Not a bully,
Not a bully,0.1,Possible Victim,0.3875,Possible Victim,0.528571429,Possible Victim,0.3,,,Possible Victim,0.405357143,Not a bully,0.1,Not a bully,
Not a bully,0.22,Possible Victim,0.2875,Possible Victim,0.357142857,Possible Victim,0.5,,,Possible Victim,0.381547619,Not a bully,0.22,Not a bully,
Not a bully,0.14,Not a victim,0.7,Not a victim,0.7,Possible Victim,0.5,,,Possible Victim,0.633333333,Not a bully,0.14,Not a bully,
Not a bully,0.24,Not a victim,0.9125,Not a victim,0.742857143,Not a victim,0.733333333,,,Not a victim,0.796230159,Not a bully,0.24,Not a bully,
Possible Bully,0.5,Not a victim,0.85,Possible Victim,0.514285714,Not a victim,0.733333333,,,Possible Victim,0.699206349,Possible Bully,0.5,Possible Bully,
Not a bully,0.34,Not a victim,0.85,Not a victim,0.757142857,Not a victim,0.7,,,Not a victim,0.769047619,Not a bully,0.34,Not a bully,
Not a bully,0.32,Not a victim,1,Not a victim,1,Possible Victim,0.566666667,,,Not a victim,0.855555556,Not a bully,0.32,Not a bully,
Not a bully,0.28,Possible Victim,0.5375,Possible Victim,0.628571429,Possible Victim,0.366666667,,,Possible Victim,0.510912699,Not a bully,0.28,Not a bully,
Not a bully,0.12,Not a victim,0.8375,Not a victim,0.814285714,Not a victim,0.766666667,,,Not a victim,0.806150794,Not a bully,0.12,Not a bully,
Possible Bully,0.48,Possible Victim,0.675,Possible Victim,0.571428571,Possible Victim,0.566666667,,,Possible Victim,0.604365079,Possible Bully,0.48,Possible Bully,
Possible Bully,0.48,Possible Victim,0.675,Possible Victim,0.571428571,Possible Victim,0.566666667,,,Possible Victim,0.604365079,Possible Bully,0.48,Possible Bully,
